Time;channel_11;channel_12;channel_13;channel_14;channel_15;channel_16;channel_17;channel_18;channel_19;channel_20;channel_21;channel_22;channel_23;channel_24;channel_25;channel_26
2016-08-08T17:48:23.290Z;-75;-81;-83;-94;-95;-97;-93;-84;-94;-102;-100;-96;-94;-95;-100;-99
2016-08-08T17:48:25.939Z;-74;-82;-84;-91;-98;-93;-97;-98;-98;-98;-96;-96;-96;-100;-101;-94
2016-08-08T17:48:28.588Z;-68;-83;-80;-88;-95;-95;-86;-98;-100;-101;-96;-95;-93;-96;-100;-95
2016-08-08T17:48:31.235Z;-67;-94;-72;-93;-93;-96;-95;-87;-98;-98;-95;-91;-93;-97;-100;-100
2016-08-08T17:48:33.885Z;-67;-85;-97;-93;-92;-93;-97;-100;-97;-98;-95;-97;-95;-98;-100;-101
2016-08-08T17:48:36.534Z;-63;-94;-88;-96;-94;-100;-87;-101;-96;-101;-100;-95;-97;-98;-101;-98
2016-08-08T17:48:39.182Z;-62;-97;-63;-88;-96;-101;-92;-100;-94;-98;-94;-97;-94;-97;-100;-98
2016-08-08T17:48:41.835Z;-77;-93;-97;-97;-91;-99;-91;-88;-98;-97;-99;-96;-95;-97;-98;-96
2016-08-08T17:48:44.479Z;-70;-83;-83;-86;-96;-96;-97;-86;-92;-99;-100;-94;-96;-97;-101;-96
2016-08-08T17:48:47.127Z;-64;-84;-88;-98;-99;-94;-96;-98;-92;-99;-100;-98;-95;-95;-98;-99
2016-08-08T17:48:49.776Z;-66;-79;-75;-89;-98;-96;-88;-98;-99;-102;-99;-97;-97;-96;-99;-97
2016-08-08T17:48:52.424Z;-74;-81;-54;-85;-95;-100;-94;-96;-97;-100;-88;-94;-96;-100;-100;-100
2016-08-08T17:48:55.073Z;-73;-89;-83;-89;-91;-97;-98;-101;-100;-96;-97;-93;-94;-98;-101;-100
2016-08-08T17:48:57.721Z;-72;-78;-61;-83;-91;-92;-98;-98;-90;-97;-96;-94;-93;-97;-101;-99
