# Bill of Materials,,,,,,,,,,,,,,,,,
# Converted from {},,,,,,,,,,,,,,,,,
# Generated by bom_to_text.py,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,DIGIKEY,DIGIKEY1,DIGIKEY2,DNP,MF,MF1,MF2,MFN,MFN1,MFN2,MOUSER,RICHARDSON_RFPD
3,LTC2941,LTC2941,DFN-6-2MMX3MM,"U1, U2, U3",I2C Battery Gas Gauge,LTC2941IDCB#TRMPBFCT-ND,,,,,,,,,,,
1,MODULE_GENERIC_DEBUGSMT,MODULE_GENERIC_DEBUGSMT,MODULE_GENERIC_DEBUG_SMT,J1,The debug version of the signpost module header,,S9170-ND,WM17450-ND,,,Sullins,Molex,,SBH11-PBPC-D07-ST-BK,15912080,,
2,MOLEX_73251-135X,MOLEX_73251-135X,SMA-J/PCB,"J2, J3",SMA JACK SMT 50 OHM,WM9357-ND,,,,Molex,,,732511350,,,,
3,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,"Q1, Q2, Q3",Generic NMOS footprint,SI2333DDS-T1-GE3CT-ND ,,,,,,,,,,,
1,NANO_SIM,NANO_SIM,WURTH_NANO_SIM,J4,WURTH Nano SIM Connector,732-5954-1-ND,,,,,,,,,,,
1,NRF51822QF,NRF51822QF,QFN-48-6MM,U13,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1049-1-ND,,,,,,,,,,949-NRF51822-QFAC-R7,
1,PCA9544AQFN-N20,PCA9544AQFN-N20,QFN-N20,U5,1-4 I2C/SMBUS Multiplexer with interrupt for power supply coulomb counters,296-20960-1-ND,,,,,,,,,,,
1,SAM4LC8BA,SAM4LC8BA,QFN-64-9MM,U6,SAM4L Microcontroller. 64QFN Package. 512 Flash.,ATSAM4LC8BA-MU,,,,,,,,,,,
3,SI223DDS,SI223DDS,SOT23-3,"Q4, Q5, Q6",6A SOT-23 P Fet,SI2333DDS-T1-GE3CT-ND,,,,,,,,,,,
1,SML-LX0404SIUPGUSB,SML-LX0404SIUPGUSB,1MM_SQ_4PAD,LED4,1mm^2 RGB LED,67-2125-1-ND,,,,,,,,,,,
4,TEST_POINT_0.040IN,TEST_POINT_0.040IN,TESTPOINT_0.040IN,"TP1, TP2, TP3, TP4",0.040in Test Point,5001K-ND,,,,,,,,,,,
2,TLV62130,TLV62130,TQFN-16/3MM,"U7, U8","High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.",296-35978-1-ND,,,,Texas Instruments,,,TLV62130RGTR,,,,
1,TXB0104RUT,TXB0104RUT,UQFN-12,U9,4-channel bidirectional level translater,296-25888-1-ND,,,,,,,,,,,
2,U.FL-R-SMT,U.FL-R-SMT,U.FL_SMT,"J11, J12",U.FL-R-SMT Antenna Connector,H122041-ND,,,,Hirose,,,U.FL-R-SMT-1(01),,,,
1,UBLOX_SARA_G350,UBLOX_SARA_G350,UBLOX_SARA_G3,U10,Sara G350 2.5G Radio Module,,,,,,,,,,,,
1,XDOT_MODULE,XDOT_MODULE,XDOT_MODULE,U11,Multitech XDOT LoRa Module,,,,,,,,,,,,
